depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_4,AKT1,AKT2,AKT3,BCL2,BCL2A1,BCL2L1,BCL2L10,BCL2L2,BRCA1,BRCA2,CD81,CHEK1,CHEK2,EEF2,HSP90AA1,IMPDH1,MAP2K1,MAP2K2,MAPK1,MAPK3,MCL1,MTOR,PARP1,PARP2,UBB,UBC,WEE1
ACH-000649,786O,Kidney,Renal Cell Carcinoma,Clear Cell,,-0.18286401036223127,-0.30050221143920736,-0.14972433030761773,-0.05284891561150671,-0.17927046341839353,-1.1688167331206225,-0.029521149431958955,-0.2660964704782838,-0.5591162686498178,-0.6304580063164864,-0.13056980454001746,-1.4078838562532725,0.3855151606126654,-1.9564658668883912,-0.06364423167943314,-0.5830728289205837,-0.2134735022909064,-0.2090163036084268,0.04171073486104819,-0.06840530361729583,-0.2148971357560735,-1.4850585530570255,-0.2210771235947927,-0.023380445662070072,-0.02709431907577597,-0.9000147252157702,-1.804895890145741
ACH-000219,A375,Skin,Melanoma,,,0.000895161097889393,0.023763697862811455,0.08734523320692049,0.08876799625994321,-0.06641063701610975,-0.6999278662690012,-0.06146781170716033,-0.35806571042326746,-0.7749969121759513,-0.5420308632941377,-0.0604268514773823,-1.5704584422404009,0.2554400793515596,-2.0147375685928,-0.3777815488480925,-0.2471199230730558,-0.7763166301212727,-0.27779304046317405,-0.9991495857339868,-0.2591469103050741,-0.2671724236004147,-1.4936506782323231,-0.02765958725457364,0.1358607364614118,-0.2682729949179972,-1.3542203374991673,-2.0306214085246608
ACH-000681,A549,Lung,NSCLC,NSCLC Adenocarcinoma,,0.05552632700223575,-0.5759218395267166,0.2718684985310926,0.14306640664614928,-0.12671141842340972,-0.816751015905471,-0.12226660872128607,-0.19229496603066454,-0.4479756582900037,-0.9445292511097434,0.07519906496164526,-1.7846708687741686,0.3032783096260798,-2.3159799201944042,-0.15566166023435626,-0.34430687324121323,-0.2938806265074104,-0.02171692043090422,0.294163639548785,-0.1948135482900335,-0.27779806729930256,-1.5377726055166692,-0.19742671433919545,-0.04729606593649665,-0.2816087704818891,-1.075677281263426,-2.0666350652938825
ACH-000552,HT29,Colorectal,Colorectal Adenocarcinoma,,,-0.134148578953804,-0.12132064380323945,0.099438914352091,0.1522537422221603,0.06632606238269965,-0.7881171179980198,-0.1977194186797464,-0.2872662134487139,-0.5973160122662153,-0.4951318533212098,0.06651077781016651,-1.5162441415937518,0.2339723666704593,-1.7780142136744979,-0.11637594077066216,-0.1751781222714806,-0.7397938758480876,-0.15266365495470127,-0.3503018891183455,-0.1923083382524948,-0.20229700197998413,-1.2334750852394336,-0.16946676898292778,-0.044115655728919984,-0.08980332591572021,-1.3928753420996502,-1.6459037893209956
ACH-000881,MELJUSO,Skin,Melanoma,,,0.15808354416456194,0.12062688365061025,0.05245380706543197,0.04843396985194174,-0.3423491951843951,-0.9279028233154863,0.02471138329022816,-0.43285168130390217,-0.9169457415083222,-0.8452553471493245,0.09668418581159344,-1.6645503338661505,0.36379476356506496,-2.1781315890812234,-0.013303241021094234,-0.11141647210823727,-0.12340714811849,-0.2264953149345364,-0.6693147921467204,0.06919193697939993,-0.7912577637516809,-1.25559393629697,-0.2794316279650761,-0.01648684096340125,-0.2902261232167638,-0.967986516090838,-1.803124078756328
ACH-000696,OVCAR8,Ovary,Ovary Adenocarcinoma,High Grade Serous,,0.11310886142696995,-0.011641566147262451,0.12063592976404228,-0.06190810512136208,-0.1555203065869451,-0.9242077961908076,0.00030834128581719886,-0.5117169714950098,-0.8915715045887741,-0.7030439047825473,-0.01165434077772688,-1.3844439755667666,0.124335558180472,-2.087436571272878,-0.449561433414656,-0.3099193261546391,-0.1284328031730289,-0.2914904109372807,-0.19582861482310407,-0.17562263124914634,-0.34215672066208946,-1.2465748065364912,-0.2285934313775069,-0.0005037263900647427,-0.16760014597512604,-1.2008731781743385,-1.7527508245290442
